ID_CLIENT	CRED	DF	OST
7771756001883	14JHQ877	01.01.2021	8222
5835613988348	8RY95GLS	01.01.2021	5364
7029341434208	DQ5Q5ECX	01.01.2021	1899
1309116181590	5G4CY0VC	01.01.2021	5980
4076053083534	5WEU2O5H	01.01.2021	13258
4061419452762	OCSUP90K	01.01.2021	5431
3888849901185	4JYPQD4H	01.01.2021	8022
6149484617433	9SGJ0C67	01.01.2021	8377
5344779681937	JW9TM06S	01.01.2021	3661
3147925453782	1NQ8TKQK	01.01.2021	6088
5315120626375	KCF33876	01.01.2021	6888
1504776973636	7WHIH9S6	01.01.2021	2538
2645470240503	EV7P8XUE	01.01.2021	2143
4529868893600	ZLXM9E4Z	01.01.2021	8965
5539597644958	QTFKJYLC	01.01.2021	3031
2837689832926	V9ECO0HN	01.01.2021	5658
6510332787439	LOCE62L5	01.01.2021	1332
5750961567821	6X3FM24N	01.01.2021	13682
5309974762577	I3M4QAI4	01.01.2021	2188
7609001817465	OQGO6V4L	01.01.2021	13898
4599930926379	EYGVBSAT	01.01.2021	5339
7597075243331	446BMEFK	01.01.2021	2398
5700400531221	NHNNORUG	01.01.2021	7002
4487235116149	SVXZ7ZFB	01.01.2021	8420
8593918497927	0TF2YUC0	01.01.2021	7587
3886073000510	XQ1BQPS6	01.01.2021	6298
9372675676616	8NO9K4X1	01.01.2021	3790
8916686286573	ZPIUFBX0	01.01.2021	6346
9749497659281	48F8RHGX	01.01.2021	1479
5611911773283	WRAGQZRT	01.01.2021	2274
6667302615437	EPH5H1GJ	01.01.2021	2067
5636066742992	WP0QCBNT	01.01.2021	5370
9931803038951	PL6BK557	01.01.2021	2390
6149166754611	W4FM9ALX	01.01.2021	3185
6222897474835	8W45IUFE	01.01.2021	5092
5969432075630	01SF86OT	01.01.2021	12389
7890351938209	R768ZPOD	01.01.2021	8309
2957703450963	HW1NQG17	01.01.2021	2478
9527297486081	95H121YV	01.01.2021	4212
8418022101319	590AM6TA	01.01.2021	2792
9785551655592	FWRH7VLL	01.01.2021	7267
9119046145976	7ZM0X6AY	01.01.2021	2798
6715355977496	PM28NLFR	01.01.2021	6824
5204684483370	K4PGH145	01.01.2021	1212
5362837090185	OUBVRECP	01.01.2021	7422
1916634235399	VSRVV9CS	01.01.2021	9760
6484464478746	W5ZZ43V7	01.01.2021	4919
4602269100714	DKD0VN7I	01.01.2021	9074
2342076343592	ZVR3NBB6	01.01.2021	4635
7639100342470	8P4IBJSH	01.01.2021	4994
7683841999205	1FN36K8I	01.01.2021	2906
6424220625909	KZ61BA9T	01.01.2021	6177
7114051205242	L2GMO8ZE	01.01.2021	2968
5628190431290	C95CYYCE	01.01.2021	2936
8049285627006	EORABMKW	01.01.2021	6108
9012026812392	54BVU63Q	01.01.2021	7271
6382974792867	PBLE2RA0	01.01.2021	7318
6200126884806	80DUSVLO	01.01.2021	1288
8353101595244	KHZWHKH5	01.01.2021	3698
3620684949186	DQMIFHLU	01.01.2021	5552
8367303765835	HD6A3NQQ	01.01.2021	1740
1227907787756	9NEJGOVG	01.01.2021	9426
6878398319718	4TI74NTR	01.01.2021	5590
6963954309122	61MVPEJ7	01.01.2021	6442
7388112103683	BMRISBJT	01.01.2021	5268
1309116181590	1GRNLMYE	01.01.2021	6605
4076053083534	H1V69CZD	01.01.2021	9874
4061419452762	ECOWE3GO	01.01.2021	5474
3888849901185	PTSU59DA	01.01.2021	9128
6149484617433	IGEDPN5S	01.01.2021	6077
5344779681937	2TN4P8TT	01.01.2021	2610
3147925453782	NC8ZK8U0	01.01.2021	7236
5315120626375	NDZSBD20	01.01.2021	4865
1504776973636	ZEXK9LMK	01.01.2021	3807
9785551655592	UISFNJCZ	01.01.2021	9244
9119046145976	8DY9U95W	01.01.2021	6044
6715355977496	GCVJKK61	01.01.2021	1416
5204684483370	ZC9DT88E	01.01.2021	2694
5362837090185	DP7C6YK2	01.01.2021	9127
1916634235399	E4BTUHX4	01.01.2021	9549
6484464478746	WUOKYTHX	01.01.2021	6032
4602269100714	1U96CMX3	01.01.2021	7468
2342076343592	MNM9UYJW	01.01.2021	4690
7639100342470	VFB2PUNI	01.01.2021	4139
7683841999205	ZRJB63EF	01.01.2021	1171
5835613988348	8RY95GLS	01.04.2021	3423
7029341434208	DQ5Q5ECX	01.04.2021	8818
4061419452762	OCSUP90K	01.04.2021	8899
3888849901185	4JYPQD4H	01.04.2021	4633
6149484617433	9SGJ0C67	01.04.2021	8880
5344779681937	JW9TM06S	01.04.2021	2779
3147925453782	1NQ8TKQK	01.04.2021	8065
2645470240503	EV7P8XUE	01.04.2021	3023
5539597644958	QTFKJYLC	01.04.2021	2098
6510332787439	LOCE62L5	01.04.2021	2451
5750961567821	6X3FM24N	01.04.2021	12468
5309974762577	I3M4QAI4	01.04.2021	4983
7609001817465	OQGO6V4L	01.04.2021	4744
7597075243331	446BMEFK	01.04.2021	9791
5700400531221	NHNNORUG	01.04.2021	2818
4487235116149	SVXZ7ZFB	01.04.2021	6265
8916686286573	ZPIUFBX0	01.04.2021	8034
9749497659281	48F8RHGX	01.04.2021	7616
5611911773283	WRAGQZRT	01.04.2021	5910
5636066742992	WP0QCBNT	01.04.2021	7811
9931803038951	PL6BK557	01.04.2021	4651
6222897474835	8W45IUFE	01.04.2021	4797
7890351938209	R768ZPOD	01.04.2021	1053
2957703450963	HW1NQG17	01.04.2021	4283
8418022101319	590AM6TA	01.04.2021	6414
9119046145976	7ZM0X6AY	01.04.2021	4449
6715355977496	PM28NLFR	01.04.2021	8689
5362837090185	OUBVRECP	01.04.2021	2868
1916634235399	VSRVV9CS	01.04.2021	5244
6484464478746	W5ZZ43V7	01.04.2021	7961
2342076343592	ZVR3NBB6	01.04.2021	1748
7683841999205	1FN36K8I	01.04.2021	8645
6424220625909	KZ61BA9T	01.04.2021	2597
7114051205242	L2GMO8ZE	01.04.2021	7498
5628190431290	C95CYYCE	01.04.2021	2988
6382974792867	PBLE2RA0	01.04.2021	8862
6200126884806	80DUSVLO	01.04.2021	9886
8353101595244	KHZWHKH5	01.04.2021	5630
3620684949186	DQMIFHLU	01.04.2021	3226
1227907787756	9NEJGOVG	01.04.2021	2425
6878398319718	4TI74NTR	01.04.2021	5411
6963954309122	61MVPEJ7	01.04.2021	5208
7388112103683	BMRISBJT	01.04.2021	3567
1309116181590	1GRNLMYE	01.04.2021	3349
4076053083534	H1V69CZD	01.01.2021	12868
4076053083534	H1V69CZD	01.04.2021	9567
4061419452762	ECOWE3GO	01.04.2021	9813
3888849901185	PTSU59DA	01.04.2021	6322
6149484617433	IGEDPN5S	01.04.2021	9863
5344779681937	2TN4P8TT	01.04.2021	2732
5315120626375	NDZSBD20	01.04.2021	7883
9785551655592	UISFNJCZ	01.04.2021	5082
9119046145976	8DY9U95W	01.04.2021	1236
6715355977496	GCVJKK61	01.04.2021	10692
5204684483370	ZC9DT88E	01.04.2021	6245
5362837090185	DP7C6YK2	01.04.2021	7431
1916634235399	E4BTUHX4	01.04.2021	6836
6484464478746	WUOKYTHX	01.04.2021	1443
4602269100714	1U96CMX3	01.04.2021	9698
2342076343592	MNM9UYJW	01.04.2021	7530
7639100342470	VFB2PUNI	01.04.2021	2851
7683841999205	ZRJB63EF	01.04.2021	9351
6424220625909	57ZHC27W	01.04.2021	8080
7114051205242	NV93N3ID	01.04.2021	4751
5628190431290	BBPRJIE7	01.04.2021	3002
6382974792867	LL7MLEJ3	01.04.2021	9500
6200126884806	B0K4HMDH	01.04.2021	2400
6149484617433	4Z482F8K	01.04.2021	9931
5344779681937	RTPLJEJX	01.04.2021	3287
5315120626375	5KOLJ93T	01.04.2021	8254
9785551655592	AS35PKAZ	01.04.2021	4390
9119046145976	WB388XWE	01.04.2021	6929
